,time,zerocol,pupil_high_low
3071,0.0,0,1
3072,0.004,0,1
3073,0.008,0,1
3074,0.012,0,1
3075,0.016,0,1
3076,0.02,0,1
3077,0.024,0,1
3078,0.028,0,1
3079,0.032,0,1
3080,0.036,0,1
3081,0.04,0,1
3082,0.044,0,1
3083,0.048,0,1
3084,0.052,0,1
3085,0.056,0,1
3086,0.06,0,1
3087,0.064,0,1
3088,0.068,0,1
3089,0.072,0,1
3090,0.076,0,1
3091,0.08,0,1
3092,0.084,0,1
3093,0.088,0,1
3094,0.092,0,1
3095,0.096,0,1
3096,0.1,0,1
3097,0.104,0,1
3098,0.108,0,1
3099,0.112,0,1
3100,0.116,0,1
3101,0.12,0,1
3102,0.124,0,1
3103,0.128,0,1
3104,0.132,0,1
3105,0.136,0,1
3106,0.14,0,1
3107,0.144,0,1
3108,0.148,0,1
3109,0.152,0,1
3110,0.156,0,1
3111,0.16,0,1
3112,0.164,0,1
3113,0.168,0,1
3114,0.172,0,1
3115,0.176,0,1
3116,0.18,0,1
3117,0.184,0,1
3118,0.188,0,1
3119,0.192,0,1
3120,0.196,0,1
3121,0.2,0,1
3122,0.204,0,1
3123,0.208,0,1
3124,0.212,0,1
3125,0.216,0,1
3126,0.22,0,1
3127,0.224,0,1
3128,0.228,0,1
3129,0.232,0,1
3130,0.236,0,1
3131,0.24,0,1
3132,0.244,0,1
3133,0.248,0,1
3134,0.252,0,1
3135,0.256,0,1
3136,0.26,0,1
3137,0.264,0,1
3138,0.268,0,1
3139,0.272,0,1
3140,0.276,0,1
3141,0.28,0,1
3142,0.284,0,1
3143,0.288,0,1
3144,0.292,0,1
3145,0.296,0,1
3146,0.3,0,1
3147,0.304,0,1
3148,0.308,0,1
3149,0.312,0,1
3150,0.316,0,1
3151,0.32,0,1
3152,0.324,0,1
3153,0.328,0,1
3154,0.332,0,1
3155,0.336,0,1
3156,0.34,0,1
3157,0.344,0,1
3158,0.348,0,1
3159,0.352,0,1
3160,0.356,0,1
3161,0.36,0,1
3162,0.364,0,1
3163,0.368,0,1
3164,0.372,0,1
3165,0.376,0,1
3166,0.38,0,1
3167,0.384,0,1
3168,0.388,0,1
3169,0.392,0,1
3170,0.396,0,1
3171,0.4,0,1
3172,0.404,0,1
3173,0.408,0,1
3174,0.412,0,1
3175,0.416,0,1
3176,0.42,0,1
3177,0.424,0,1
3178,0.428,0,1
3179,0.432,0,1
3180,0.436,0,1
3181,0.44,0,1
3182,0.444,0,1
3183,0.448,0,1
3184,0.452,0,1
3185,0.456,0,1
3186,0.46,0,1
3187,0.464,0,1
3188,0.468,0,1
3189,0.472,0,1
3190,0.476,0,1
3191,0.48,0,1
3192,0.484,0,1
3193,0.488,0,1
3194,0.492,0,1
3195,0.496,0,1
3196,0.5,0,1
3197,0.504,0,1
3198,0.508,0,1
3199,0.512,0,1
3200,0.516,0,1
3201,0.52,0,1
3202,0.524,0,1
3203,0.528,0,1
3204,0.532,0,1
3205,0.536,0,1
3206,0.54,0,1
3207,0.544,0,1
3208,0.548,0,1
3209,0.552,0,1
3210,0.556,0,1
3211,0.56,0,1
3212,0.564,0,1
3213,0.568,0,1
3214,0.572,0,1
3215,0.576,0,1
3216,0.58,0,1
3217,0.584,0,1
3218,0.588,0,1
3219,0.592,0,1
3220,0.596,0,1
3221,0.6,0,1
3222,0.604,0,1
3223,0.608,0,1
3224,0.612,0,1
3225,0.616,0,1
3226,0.62,0,1
3227,0.624,0,1
3228,0.628,0,1
3229,0.632,0,1
3230,0.636,0,1
3231,0.64,0,1
3232,0.644,0,1
3233,0.648,0,1
3234,0.652,0,1
3235,0.656,0,1
3236,0.66,0,1
3237,0.664,0,1
3238,0.668,0,1
