,time,zerocol,pupil_high_low
9578,0.0,0,0
9579,0.004,0,0
9580,0.008,0,0
9581,0.012,0,0
9582,0.016,0,0
9583,0.02,0,0
9584,0.024,0,0
9585,0.028,0,0
9586,0.032,0,0
9587,0.036,0,0
9588,0.04,0,0
9589,0.044,0,0
9590,0.048,0,0
9591,0.052,0,0
9592,0.056,0,0
9593,0.06,0,0
9594,0.064,0,0
9595,0.068,0,0
9596,0.072,0,0
9597,0.076,0,0
9598,0.08,0,0
9599,0.084,0,0
9600,0.088,0,0
9601,0.092,0,0
9602,0.096,0,0
9603,0.1,0,0
9604,0.104,0,0
9605,0.108,0,0
9606,0.112,0,0
9607,0.116,0,0
9608,0.12,0,0
9609,0.124,0,0
9610,0.128,0,0
9611,0.132,0,0
9612,0.136,0,0
9613,0.14,0,0
9614,0.144,0,0
9615,0.148,0,0
9616,0.152,0,0
9617,0.156,0,0
9618,0.16,0,0
9619,0.164,0,0
9620,0.168,0,0
9621,0.172,0,0
9622,0.176,0,0
9623,0.18,0,0
9624,0.184,0,0
9625,0.188,0,0
9626,0.192,0,0
9627,0.196,0,0
9628,0.2,0,0
9629,0.204,0,0
9630,0.208,0,0
9631,0.212,0,0
9632,0.216,0,0
9633,0.22,0,0
9634,0.224,0,0
9635,0.228,0,0
9636,0.232,0,0
9637,0.236,0,0
9638,0.24,0,0
9639,0.244,0,0
9640,0.248,0,0
9641,0.252,0,0
9642,0.256,0,0
9643,0.26,0,0
9644,0.264,0,0
9645,0.268,0,0
9646,0.272,0,0
9647,0.276,0,0
9648,0.28,0,0
9649,0.284,0,0
9650,0.288,0,0
9651,0.292,0,0
9652,0.296,0,0
9653,0.3,0,0
9654,0.304,0,0
9655,0.308,0,0
9656,0.312,0,0
9657,0.316,0,0
9658,0.32,0,0
9659,0.324,0,0
9660,0.328,0,0
9661,0.332,0,0
9662,0.336,0,0
9663,0.34,0,0
9664,0.344,0,0
9665,0.348,0,0
9666,0.352,0,0
9667,0.356,0,0
9668,0.36,0,0
9669,0.364,0,0
9670,0.368,0,0
9671,0.372,0,0
9672,0.376,0,0
9673,0.38,0,0
9674,0.384,0,0
9675,0.388,0,0
9676,0.392,0,0
9677,0.396,0,0
9678,0.4,0,0
9679,0.404,0,0
9680,0.408,0,0
9681,0.412,0,0
9682,0.416,0,0
9683,0.42,0,0
9684,0.424,0,0
9685,0.428,0,0
9686,0.432,0,0
9687,0.436,0,0
9688,0.44,0,0
9689,0.444,0,0
9690,0.448,0,0
9691,0.452,0,0
9692,0.456,0,0
9693,0.46,0,0
9694,0.464,0,0
9695,0.468,0,0
9696,0.472,0,0
9697,0.476,0,0
9698,0.48,0,0
9699,0.484,0,0
9700,0.488,0,0
9701,0.492,0,0
9702,0.496,0,0
9703,0.5,0,0
9704,0.504,0,0
9705,0.508,0,0
9706,0.512,0,0
9707,0.516,0,0
9708,0.52,0,0
9709,0.524,0,0
9710,0.528,0,0
9711,0.532,0,0
9712,0.536,0,0
9713,0.54,0,0
9714,0.544,0,0
9715,0.548,0,0
9716,0.552,0,0
9717,0.556,0,0
9718,0.56,0,0
9719,0.564,0,0
9720,0.568,0,0
9721,0.572,0,0
9722,0.576,0,0
9723,0.58,0,0
9724,0.584,0,0
9725,0.588,0,0
9726,0.592,0,0
9727,0.596,0,0
9728,0.6,0,0
9729,0.604,0,0
9730,0.608,0,0
9731,0.612,0,0
9732,0.616,0,0
9733,0.62,0,0
9734,0.624,0,0
9735,0.628,0,0
9736,0.632,0,0
9737,0.636,0,0
9738,0.64,0,0
9739,0.644,0,0
9740,0.648,0,0
9741,0.652,0,0
9742,0.656,0,0
9743,0.66,0,0
9744,0.664,0,0
9745,0.668,0,0
9746,0.672,0,0
9747,0.676,0,0
9748,0.68,0,0
9749,0.684,0,0
9750,0.688,0,0
9751,0.692,0,0
9752,0.696,0,0
9753,0.7,0,0
9754,0.704,0,0
9755,0.708,0,0
9756,0.712,0,0
9757,0.716,0,0
9758,0.72,0,0
9759,0.724,0,0
9760,0.728,0,0
9761,0.732,0,0
9762,0.736,0,0
9763,0.74,0,0
9764,0.744,0,0
9765,0.748,0,0
9766,0.752,0,0
9767,0.756,0,0
9768,0.76,0,0
9769,0.764,0,0
9770,0.768,0,0
9771,0.772,0,0
9772,0.776,0,0
9773,0.78,0,0
9774,0.784,0,0
9775,0.788,0,0
